number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.022306437098892438,2026-07-19 20:27:28.609378,2026-07-19 20:27:50.305017,0 days 00:00:21.695639,0.6537985594470426,0.10738379804638151,10,3,365,0.6177186431132018,COMPLETE
1,0.02028440278859803,2026-07-19 20:27:50.319578,2026-07-19 20:27:52.876777,0 days 00:00:02.557199,0.6795652122684726,0.024000975801239506,5,7,153,0.9952616195816354,COMPLETE
2,0.018928727687884197,2026-07-19 20:27:52.886533,2026-07-19 20:28:08.397830,0 days 00:00:15.511297,0.8779812546707266,0.012954418190273988,8,10,379,0.8702225598734412,COMPLETE
3,0.01959364991243064,2026-07-19 20:28:08.406675,2026-07-19 20:28:19.569560,0 days 00:00:11.162885,0.8143528849798564,0.05689536541311518,10,10,234,0.8911187316776343,COMPLETE
4,0.02112127689267469,2026-07-19 20:28:19.577999,2026-07-19 20:28:22.008472,0 days 00:00:02.430473,0.7005198761051225,0.011606809745704529,4,10,261,0.7357747205484538,COMPLETE
5,0.019692120993828735,2026-07-19 20:28:22.017965,2026-07-19 20:28:30.428734,0 days 00:00:08.410769,0.7626334316598277,0.010325272084770206,6,7,459,0.6380343902044443,COMPLETE
6,0.019346761756489292,2026-07-19 20:28:30.437231,2026-07-19 20:28:45.149911,0 days 00:00:14.712680,0.9911515369043195,0.03232243018272472,9,4,259,0.6418461630226125,COMPLETE
7,0.020243747483792512,2026-07-19 20:28:45.158530,2026-07-19 20:29:08.040585,0 days 00:00:22.882055,0.9458566804666078,0.11448121770128483,10,6,457,0.7824989584780235,COMPLETE
8,0.021634217222182867,2026-07-19 20:29:08.049045,2026-07-19 20:29:09.827037,0 days 00:00:01.777992,0.7346559431173552,0.016286658623029963,3,3,231,0.8346593026869649,COMPLETE
9,0.02068817418749827,2026-07-19 20:29:09.835674,2026-07-19 20:29:18.538748,0 days 00:00:08.703074,0.6222627187636743,0.010580868505527839,7,2,291,0.7356618982472969,COMPLETE
10,0.02237589039481265,2026-07-19 20:29:18.547578,2026-07-19 20:29:24.273837,0 days 00:00:05.726259,0.8698899825648243,0.2942482720108753,8,1,123,0.9947522201334204,COMPLETE
11,0.019187366714546922,2026-07-19 20:29:24.283093,2026-07-19 20:29:40.332723,0 days 00:00:16.049630,0.9973322054354818,0.033286574136130974,8,5,377,0.9026666109537906,COMPLETE
